Room ID,Room Code
1abd1feddf62609beac9ee1441def951,Dubai D-309
1acebb1d480495708fb03133e666ed25,Golisano Hall (GOL)-3510
1ad5823bad33b830155d5958ee1494b4,George Eastman Hall (EAS)-3181
1b6ee690760ce75ed6cc7934f5d80115,Student Alumni Union(SAU)-1300
1b7cf9cd72c9729e9886ffd1e2b36891,Wallace Library (WAL)-3430
1bd550822f3e503684fa1beb2c80f4e0,Frank E. Gannett (GAN)-1201
1be0769b59e6a4d75839a4feffd6256b,Wallace Library (WAL)-A400
1bf90fa84f8d98d68ca3b557ec1aaec1,Dubai C-311
1ce90665629ab8c3e8648030f02e79c4,Golisano Hall (GOL)-2590
1db1f07c7a3a717dc413220b7f3c4878,George Eastman Hall (EAS)-3263
1ef860b22887522af530ed0759350861,SH Explore & Devel (SHD)-2300
221b206f58c7ac85af15c16e69ee2470,Slaughter Hall (SLA)-1430
2262fa5543ca4127a100bf2e507867df,James E Gleason Hall(GLE)-3410
226685fd706b9dc356cb2a8df5881fee,Frank E. Gannett (GAN)-A145
236254c0c7946713c2701236f1677634,Thomas Gosnell Hall (GOS)-1213
245cae7a8e82d78e710d52b44f5d52f6,Dubai E-103
251fece22e92c8658ab75be527e657e7,Dubai D-313
25260199c3ddf06db74f06acbbc0d89c,Dubai E-217
253e863b1e0d2b9ff840935c5ae96537,George Eastman Hall (EAS)-3320
257a7f217902f4bcf790ea49a7793b31,Hale-Andrews Center (HAC)-1270
2583212c832f340ba2756d5b4184b6e4,Dubai H-105
25853b37590f5313e5486318f53f702c,Student Dev Ctr (CSD)-1445
25c482c484790fd574c6e2e9db059f57,James E Booth (BOO)-3550
262d93baf4705b43274f04a4644c875d,Golisano Hall (GOL)-1110
263097a87b25ffea1fd402e5caabe86a,DBK L35
2661a92e0729c37b0d321193fd46df3b,Max Lowenthal Hall (LOW)-3040
26c630e67a92066166b350bd53c338e4,MAGIC Spell Studios (MSS)-2015
26cf638326720a33a0b2e7c1abe265c9,Hale-Andrews Center (HAC)-RBCT
276c610069e280edc49f30782630ad9f,MAGIC Spell Studios (MSS)-2020
27b12d3fdd299f39a8f8c1159d9ba0c7,James E Booth (BOO)-2600A
27e8150a59bef3a31a240f1e38b6bf7c,Lyndon Johnson Hall (LBJ)-1767
2819e9d99db2fa26cd363352b2a78a14,Student Alumni Union(SAU)-A120
2897f51d7737f41ec299ae159a92b9f7,Slaughter Hall (SLA)-2406
28d1f8079bdc5e463e619c433cd011e4,Liberal Arts Hall (LBR)-3244
28d7e0804f6a90c8a92e50afb0335906,Dubai B-108
2993f22b4677af973df1890acecdb1b8,Ctr Biosci Ed & Tech(CBT)-3157
29eed42b6a2fb475c37051110895d637,Lyndon Johnson Hall (LBJ)-1845
2a63bcb158044d9f402209f8784c0cff,Lyndon Johnson Hall (LBJ)-3235
2b13d53d6a353467d9f84120070070e1,Dubai H-001
